audio_file,duration_ms,segment_number,item_id,genero,fonologia,list,spl_exp,spa_sniy,que_ykuna
p_2b_seg7.wav,1848.19,7,item_4p,,,1,plu,0.0,1.0
p_2b_seg8.wav,1947.32,8,item_4p,,,1,plu,0.0,1.0
p_3a_seg1.wav,5343.85,1,item_5p,,,1,plu,1.0,0.0
p_3a_seg2.wav,1287.98,2,item_5p,,,1,plu,1.0,0.0
p_3a_seg3.wav,1081.36,3,item_5p,,,1,plu,1.0,0.0
p_3a_seg4.wav,1336.21,4,item_5p,,,1,plu,1.0,0.0
p_3a_seg5.wav,971.16,5,item_5p,,,1,plu,1.0,0.0
p_3a_seg6.wav,1191.54,6,item_5p,,,1,plu,1.0,0.0
p_3a_seg7.wav,1873.42,7,item_5p,,,1,plu,1.0,0.0
p_3a_seg8.wav,2658.62,8,item_5p,,,1,plu,1.0,0.0
p_4b_seg1.wav,5094.78,1,item_8p,,,1,plu,0.0,1.0
p_4b_seg2.wav,1080.82,2,item_8p,,,1,plu,0.0,1.0
p_4b_seg3.wav,1042.68,3,item_8p,,,1,plu,0.0,1.0
p_4b_seg4.wav,1653.04,4,item_8p,,,1,plu,0.0,1.0
p_4b_seg5.wav,953.67,5,item_8p,,,1,plu,0.0,1.0
p_4b_seg6.wav,1284.26,6,item_8p,,,1,plu,0.0,1.0
p_4b_seg7.wav,1738.8,7,item_8p,,,1,plu,0.0,1.0
p_4b_seg8.wav,2365.1,8,item_8p,,,1,plu,0.0,1.0
p_5a_seg1.wav,5389.14,1,item_9p,,,1,plu,1.0,0.0
p_5a_seg2.wav,1107.64,2,item_9p,,,1,plu,1.0,0.0
p_5a_seg3.wav,1120.61,3,item_9p,,,1,plu,1.0,0.0
p_5a_seg4.wav,1638.78,4,item_9p,,,1,plu,1.0,0.0
p_5a_seg5.wav,835.6,5,item_9p,,,1,plu,1.0,0.0
p_5a_seg6.wav,1295.49,6,item_9p,,,1,plu,1.0,0.0
p_5a_seg7.wav,1567.53,7,item_9p,,,1,plu,1.0,0.0
p_5a_seg8.wav,1783.79,8,item_9p,,,1,plu,1.0,0.0
p_6b_seg1.wav,5706.15,1,item_12p,,,1,plu,0.0,1.0
p_6b_seg2.wav,1259.52,2,item_12p,,,1,plu,0.0,1.0
p_6b_seg3.wav,1068.37,3,item_12p,,,1,plu,0.0,1.0
p_6b_seg4.wav,1793.7,4,item_12p,,,1,plu,0.0,1.0
p_6b_seg5.wav,882.79,5,item_12p,,,1,plu,0.0,1.0
p_6b_seg6.wav,1298.89,6,item_12p,,,1,plu,0.0,1.0
p_6b_seg7.wav,1855.56,7,item_12p,,,1,plu,0.0,1.0
p_6b_seg8.wav,2080.48,8,item_12p,,,1,plu,0.0,1.0
p_7a_seg1.wav,5638.21,1,item_13p,,,1,plu,1.0,0.0
p_7a_seg2.wav,1047.35,2,item_13p,,,1,plu,1.0,0.0
p_7a_seg3.wav,1171.7,3,item_13p,,,1,plu,1.0,0.0
p_7a_seg4.wav,1302.63,4,item_13p,,,1,plu,1.0,0.0
p_7a_seg5.wav,890.23,5,item_13p,,,1,plu,1.0,0.0
p_7a_seg6.wav,1341.88,6,item_13p,,,1,plu,1.0,0.0
p_7a_seg7.wav,2048.84,7,item_13p,,,1,plu,1.0,0.0
p_7a_seg8.wav,2739.98,8,item_13p,,,1,plu,1.0,0.0
p_8b_seg1.wav,5208.0,1,item_16p,,,1,plu,0.0,1.0
p_8b_seg2.wav,1117.62,2,item_16p,,,1,plu,0.0,1.0
p_8b_seg3.wav,896.37,3,item_16p,,,1,plu,0.0,1.0
p_8b_seg4.wav,1475.03,4,item_16p,,,1,plu,0.0,1.0
p_8b_seg5.wav,771.54,5,item_16p,,,1,plu,0.0,1.0
p_8b_seg6.wav,1174.35,6,item_16p,,,1,plu,0.0,1.0
